observed_on,user_id,created_at,taxon_family_name,taxon_genus_name,taxon_species_name,broader,establishment_means
3/09/2023,5194154,2023-09-03 00:06:21 UTC,Apiaceae,Actinotus,Actinotus helianthi,3.dicot,native
7/09/2023,2338918,2023-09-07 20:24:56 UTC,Apiaceae,Actinotus,Actinotus helianthi,3.dicot,native
20/09/2023,5435930,2023-09-25 12:15:13 UTC,Apiaceae,Actinotus,Actinotus helianthi,3.dicot,native
24/09/2023,1138587,2023-09-27 03:10:25 UTC,Apiaceae,Actinotus,Actinotus helianthi,3.dicot,native
27/09/2023,5140725,2023-09-27 09:26:16 UTC,Apiaceae,Actinotus,Actinotus helianthi,3.dicot,native
27/09/2023,5140725,2023-09-27 09:26:24 UTC,Apiaceae,Actinotus,Actinotus helianthi,3.dicot,native
24/09/2023,661392,2023-09-29 12:41:11 UTC,Apiaceae,Actinotus,Actinotus helianthi,3.dicot,native
7/10/2023,7464161,2023-10-07 23:30:25 UTC,Apiaceae,Actinotus,Actinotus helianthi,3.dicot,native
14/10/2023,3751299,2023-10-14 05:42:18 UTC,Apiaceae,Actinotus,Actinotus helianthi,3.dicot,native
15/10/2023,2751244,2023-10-15 01:08:11 UTC,Apiaceae,Actinotus,Actinotus helianthi,3.dicot,native
2/10/2023,7488793,2023-10-16 10:38:14 UTC,Apiaceae,Actinotus,Actinotus helianthi,3.dicot,native
20/10/2023,4453532,2023-10-20 09:32:16 UTC,Apiaceae,Actinotus,Actinotus helianthi,3.dicot,native
21/10/2023,993680,2023-10-21 00:01:58 UTC,Apiaceae,Actinotus,Actinotus helianthi,3.dicot,native
12/10/2023,6516136,2023-10-23 03:38:02 UTC,Apiaceae,Actinotus,Actinotus helianthi,3.dicot,native
21/10/2023,1708045,2023-10-23 16:43:48 UTC,Apiaceae,Actinotus,Actinotus helianthi,3.dicot,native
21/10/2023,5739,2023-10-24 00:00:59 UTC,Apiaceae,Actinotus,Actinotus helianthi,3.dicot,native
21/10/2023,1708045,2023-10-24 04:37:28 UTC,Apiaceae,Actinotus,Actinotus helianthi,3.dicot,native
21/10/2023,1708045,2023-10-24 04:42:41 UTC,Apiaceae,Actinotus,Actinotus helianthi,3.dicot,native
24/10/2023,3311964,2023-10-25 19:27:59 UTC,Apiaceae,Actinotus,Actinotus helianthi,3.dicot,native
30/10/2023,2453859,2023-11-04 03:49:43 UTC,Apiaceae,Actinotus,Actinotus helianthi,3.dicot,native
11/11/2023,6585857,2023-11-11 06:53:22 UTC,Apiaceae,Actinotus,Actinotus helianthi,3.dicot,native
30/11/2023,3175896,2023-11-30 06:33:50 UTC,Apiaceae,Actinotus,Actinotus helianthi,3.dicot,native
12/12/2023,3786096,2023-12-14 07:02:05 UTC,Apiaceae,Actinotus,Actinotus helianthi,3.dicot,native
17/12/2023,1305186,2023-12-18 00:21:46 UTC,Apiaceae,Actinotus,Actinotus helianthi,3.dicot,native
23/12/2023,2574311,2023-12-23 05:01:03 UTC,Apiaceae,Actinotus,Actinotus helianthi,3.dicot,native
28/12/2023,7464766,2024-01-02 03:28:41 UTC,Apiaceae,Actinotus,Actinotus helianthi,3.dicot,native
8/12/2023,6308847,2024-01-04 23:38:22 UTC,Apiaceae,Actinotus,Actinotus helianthi,3.dicot,native
30/01/2024,3478104,2024-02-04 06:22:05 UTC,Apiaceae,Actinotus,Actinotus helianthi,3.dicot,native
11/02/2024,4672448,2024-02-11 03:47:29 UTC,Apiaceae,Actinotus,Actinotus helianthi,3.dicot,native
20/02/2024,4743351,2024-02-20 23:21:10 UTC,Apiaceae,Actinotus,Actinotus helianthi,3.dicot,native
9/02/2024,1926016,2024-03-22 08:33:41 UTC,Apiaceae,Actinotus,Actinotus helianthi,3.dicot,native
14/09/2022,745089,2024-03-29 03:51:05 UTC,Apiaceae,Actinotus,Actinotus helianthi,3.dicot,native
27/04/2024,8057547,2024-04-27 03:44:31 UTC,Apiaceae,Actinotus,Actinotus helianthi,3.dicot,native
26/01/2023,8088598,2024-05-03 04:20:29 UTC,Apiaceae,Actinotus,Actinotus helianthi,3.dicot,native
24/05/2024,2177281,2024-05-26 00:22:00 UTC,Apiaceae,Actinotus,Actinotus helianthi,3.dicot,native
2/11/2011,2991,2011-12-29 21:25:20 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
2/01/2015,62990,2015-01-02 06:24:18 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
13/06/2015,64271,2015-06-20 13:15:41 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
29/10/2014,2991,2015-07-18 05:15:32 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
17/05/2018,364713,2018-05-17 09:00:01 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
7/01/2019,1382106,2019-01-07 06:25:50 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
11/08/2019,45978,2019-08-11 06:09:28 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
7/10/2019,708958,2019-10-07 06:03:16 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
23/09/2019,636550,2019-10-18 08:07:05 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
15/12/2019,2488549,2019-12-15 05:54:36 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
31/12/2019,2488549,2019-12-30 23:21:17 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
12/01/2020,2488549,2020-01-12 02:13:45 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
18/01/2020,2488549,2020-01-18 01:05:40 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
26/04/2020,2488549,2020-04-26 08:02:53 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
30/10/2018,3408787,2020-08-04 08:13:09 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
5/08/2020,793005,2020-08-05 17:20:57 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
12/08/2020,2488549,2020-08-12 03:36:10 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
29/09/2020,738376,2020-10-02 02:40:52 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
10/10/2020,3769223,2020-10-21 12:07:47 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
19/10/2020,793005,2020-10-29 13:28:20 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
26/11/2020,793005,2020-12-20 04:24:58 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
27/12/2020,2488549,2020-12-27 09:10:11 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
1/01/2021,2376854,2021-01-01 15:02:49 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
1/01/2021,2376854,2021-01-01 15:08:25 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
15/11/2020,3313573,2021-01-03 02:38:59 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
7/02/2021,2376854,2021-02-07 10:50:30 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
14/02/2021,2560596,2021-02-14 11:09:07 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
28/02/2021,2376854,2021-02-28 11:24:35 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
28/02/2021,2376854,2021-02-28 11:25:09 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
8/04/2021,325733,2021-04-09 12:20:27 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
18/11/2018,3313573,2021-07-26 11:34:55 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
30/08/2021,4916136,2021-08-30 11:46:23 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
4/09/2021,3893507,2021-09-04 21:25:00 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
6/09/2021,4887682,2021-09-06 08:23:52 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
8/09/2021,4743351,2021-09-09 13:11:12 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
17/09/2021,2488549,2021-09-17 11:31:53 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
18/09/2021,4945027,2021-09-18 09:58:00 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
4/10/2021,4916136,2021-10-06 08:09:21 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
9/10/2021,5033453,2021-10-16 23:58:18 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
23/10/2021,2376854,2021-10-23 12:45:56 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
23/10/2021,3880468,2021-10-24 11:10:47 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
30/10/2021,4916136,2021-10-30 12:23:12 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
13/11/2021,325733,2021-11-15 23:36:38 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
17/11/2021,3880468,2021-11-17 11:56:36 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
1/01/2022,2317723,2021-12-31 23:47:52 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
5/04/2022,4743351,2022-04-06 05:37:15 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
16/04/2022,3751299,2022-04-16 11:18:15 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
30/04/2022,1138587,2022-04-30 10:27:05 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
19/09/2021,3425899,2022-06-23 08:16:09 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
30/07/2022,149222,2022-07-29 23:58:39 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
16/11/2021,6029661,2022-08-17 01:16:43 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
11/09/2022,2366151,2022-09-11 04:39:04 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
25/09/2022,1138587,2022-09-25 06:58:30 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
25/09/2022,3957444,2022-09-25 08:38:46 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
24/09/2022,3933721,2022-09-25 21:39:04 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
27/10/2022,2631448,2022-10-31 10:07:30 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
13/11/2022,624851,2022-11-21 06:14:57 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
14/12/2022,1974770,2022-12-15 05:11:22 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
14/01/2023,6228722,2023-01-14 04:08:18 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
27/01/2023,5534230,2023-01-28 05:19:36 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
5/04/2023,1809954,2023-04-06 22:54:27 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
18/04/2023,3009465,2023-04-18 06:31:30 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
28/05/2023,2325183,2023-05-28 07:28:16 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
26/06/2023,6308282,2023-06-26 02:15:16 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
8/07/2023,6196075,2023-07-08 01:53:33 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
16/07/2023,7001195,2023-07-16 05:52:26 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
16/07/2023,5315657,2023-07-16 05:52:49 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
16/07/2023,2366151,2023-07-16 11:02:28 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
28/07/2023,4124411,2023-07-28 04:20:58 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
29/07/2023,2650798,2023-07-30 11:29:32 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
25/08/2023,6196075,2023-08-25 08:02:40 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
7/09/2023,5188972,2023-09-07 12:29:26 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
20/09/2023,5435930,2023-09-25 12:15:13 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
24/09/2023,4359490,2023-09-26 08:14:42 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
24/09/2023,1138587,2023-09-27 03:10:26 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
24/09/2023,661392,2023-09-29 13:18:57 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
2/10/2023,7066727,2023-10-02 02:00:14 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
14/10/2023,3751299,2023-10-14 05:42:55 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
9/10/2023,6308282,2023-10-15 01:00:34 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
12/10/2023,6516136,2023-10-23 03:39:29 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
21/10/2023,1708045,2023-10-24 04:36:45 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
28/10/2023,6585857,2023-10-28 05:20:17 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
16/09/2023,745089,2023-11-07 06:28:21 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
27/11/2023,7204155,2023-11-27 08:35:56 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
10/08/2023,2379395,2023-12-05 05:26:29 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
15/12/2023,6542702,2023-12-15 00:18:45 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
15/12/2023,7471329,2023-12-22 09:11:07 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
28/12/2023,7464766,2023-12-28 10:01:25 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
2/01/2024,1138587,2024-01-02 09:12:30 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
4/01/2024,6908976,2024-01-04 04:27:41 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
11/02/2024,4672448,2024-02-11 03:48:00 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
20/02/2024,4743351,2024-02-20 23:21:06 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
21/04/2024,265090,2024-04-21 05:27:33 UTC,Apiaceae,Actinotus,Actinotus minor,3.dicot,native
16/05/2018,558419,2018-05-17 08:12:26 UTC,Pteridaceae,Adiantum,Adiantum aethiopicum,1.ferns/primitive,native
5/08/2020,793005,2020-08-06 01:56:49 UTC,Pteridaceae,Adiantum,Adiantum aethiopicum,1.ferns/primitive,native
24/09/2021,4887682,2021-09-24 05:36:41 UTC,Pteridaceae,Adiantum,Adiantum aethiopicum,1.ferns/primitive,native
20/03/2023,1259195,2023-03-26 10:28:00 UTC,Pteridaceae,Adiantum,Adiantum aethiopicum,1.ferns/primitive,native
20/07/2023,6196075,2023-07-20 03:00:46 UTC,Pteridaceae,Adiantum,Adiantum aethiopicum,1.ferns/primitive,native
2/01/2024,1138587,2024-01-02 08:07:04 UTC,Pteridaceae,Adiantum,Adiantum aethiopicum,1.ferns/primitive,native
23/12/2017,58341,2017-12-27 04:28:33 UTC,Pteridaceae,Adiantum,Adiantum formosum,1.ferns/primitive,native
3/04/2020,2488549,2020-04-03 19:29:55 UTC,Pteridaceae,Adiantum,Adiantum formosum,1.ferns/primitive,native
9/05/2020,2488549,2020-05-09 19:46:20 UTC,Pteridaceae,Adiantum,Adiantum formosum,1.ferns/primitive,native
5/06/2020,793005,2020-07-25 05:41:10 UTC,Pteridaceae,Adiantum,Adiantum formosum,1.ferns/primitive,native
5/08/2020,793005,2020-08-06 01:35:38 UTC,Pteridaceae,Adiantum,Adiantum formosum,1.ferns/primitive,native
5/08/2020,793005,2020-08-06 01:40:10 UTC,Pteridaceae,Adiantum,Adiantum formosum,1.ferns/primitive,native
10/05/2021,793005,2021-06-02 04:25:25 UTC,Pteridaceae,Adiantum,Adiantum formosum,1.ferns/primitive,native
4/07/2021,4743351,2021-07-19 11:31:10 UTC,Pteridaceae,Adiantum,Adiantum formosum,1.ferns/primitive,native
21/05/2021,4743351,2021-07-20 10:25:39 UTC,Pteridaceae,Adiantum,Adiantum formosum,1.ferns/primitive,native
21/09/2021,4743351,2021-09-23 10:03:53 UTC,Pteridaceae,Adiantum,Adiantum formosum,1.ferns/primitive,native
26/10/2021,4743351,2021-10-26 11:05:54 UTC,Pteridaceae,Adiantum,Adiantum formosum,1.ferns/primitive,native
28/10/2021,706931,2021-10-28 08:27:25 UTC,Pteridaceae,Adiantum,Adiantum formosum,1.ferns/primitive,native
15/07/1989,717200,2022-06-02 06:49:32 UTC,Pteridaceae,Adiantum,Adiantum formosum,1.ferns/primitive,native
26/01/2022,793005,2022-12-15 11:30:12 UTC,Pteridaceae,Adiantum,Adiantum formosum,1.ferns/primitive,native
26/03/2023,5810336,2023-03-27 23:35:04 UTC,Pteridaceae,Adiantum,Adiantum formosum,1.ferns/primitive,native
2/06/2023,5037697,2023-06-02 02:37:50 UTC,Pteridaceae,Adiantum,Adiantum formosum,1.ferns/primitive,native
28/05/2023,4317345,2023-06-09 11:08:39 UTC,Pteridaceae,Adiantum,Adiantum formosum,1.ferns/primitive,native
28/10/2023,2631448,2023-10-29 05:01:22 UTC,Pteridaceae,Adiantum,Adiantum formosum,1.ferns/primitive,native
13/11/2023,2518411,2023-11-13 08:45:16 UTC,Pteridaceae,Adiantum,Adiantum formosum,1.ferns/primitive,native
2/01/2024,661392,2024-01-02 05:36:05 UTC,Pteridaceae,Adiantum,Adiantum formosum,1.ferns/primitive,native
2/01/2024,1138587,2024-01-02 08:07:09 UTC,Pteridaceae,Adiantum,Adiantum formosum,1.ferns/primitive,native
23/04/2024,2517717,2024-04-23 04:49:43 UTC,Pteridaceae,Adiantum,Adiantum formosum,1.ferns/primitive,native
19/03/2020,2488549,2020-03-19 09:49:37 UTC,Pteridaceae,Adiantum,Adiantum hispidulum,1.ferns/primitive,native
12/02/2023,4743351,2023-02-14 02:07:12 UTC,Pteridaceae,Adiantum,Adiantum hispidulum,1.ferns/primitive,native
25/01/2020,2488549,2020-01-25 01:12:11 UTC,Primulaceae,Aegiceras,Aegiceras corniculatum,3.dicot,native
19/09/2021,4945027,2021-09-19 06:15:17 UTC,Primulaceae,Aegiceras,Aegiceras corniculatum,3.dicot,native
8/11/2021,4916136,2021-11-08 09:35:32 UTC,Primulaceae,Aegiceras,Aegiceras corniculatum,3.dicot,native
29/05/2022,265090,2022-05-29 03:41:18 UTC,Primulaceae,Aegiceras,Aegiceras corniculatum,3.dicot,native
29/05/2022,265090,2022-05-29 04:06:44 UTC,Primulaceae,Aegiceras,Aegiceras corniculatum,3.dicot,native
29/05/2022,265090,2022-05-29 04:10:36 UTC,Primulaceae,Aegiceras,Aegiceras corniculatum,3.dicot,native
18/01/1988,717200,2022-06-17 02:20:59 UTC,Primulaceae,Aegiceras,Aegiceras corniculatum,3.dicot,native
13/08/2022,265090,2022-08-13 01:55:52 UTC,Primulaceae,Aegiceras,Aegiceras corniculatum,3.dicot,native
13/08/2022,265090,2022-08-13 02:00:40 UTC,Primulaceae,Aegiceras,Aegiceras corniculatum,3.dicot,native
11/03/2023,745089,2023-03-11 20:38:42 UTC,Primulaceae,Aegiceras,Aegiceras corniculatum,3.dicot,native
9/03/2023,1658043,2023-03-13 05:43:50 UTC,Primulaceae,Aegiceras,Aegiceras corniculatum,3.dicot,native
9/03/2023,1658043,2023-03-13 05:43:52 UTC,Primulaceae,Aegiceras,Aegiceras corniculatum,3.dicot,native
9/03/2023,1658043,2023-03-13 05:44:00 UTC,Primulaceae,Aegiceras,Aegiceras corniculatum,3.dicot,native
25/12/2022,1175154,2022-12-25 08:46:29 UTC,Amaryllidaceae,Agapanthus,Agapanthus praecox,5.monocot-colorful,introduced
26/12/2019,2488549,2019-12-26 07:48:28 UTC,Asteraceae,Ageratina,Ageratina adenophora,3.dicot,introduced
15/07/2020,2488549,2020-07-15 07:12:07 UTC,Asteraceae,Ageratina,Ageratina adenophora,3.dicot,introduced
29/08/2020,2488549,2020-08-29 03:54:39 UTC,Asteraceae,Ageratina,Ageratina adenophora,3.dicot,introduced
10/09/2021,2488549,2021-09-10 08:11:58 UTC,Asteraceae,Ageratina,Ageratina adenophora,3.dicot,introduced
30/03/2022,4094096,2022-03-30 03:20:00 UTC,Asteraceae,Ageratina,Ageratina adenophora,3.dicot,introduced
25/09/2022,1138587,2022-09-25 06:58:39 UTC,Asteraceae,Ageratina,Ageratina adenophora,3.dicot,introduced
3/10/2022,6209647,2022-10-03 12:31:03 UTC,Asteraceae,Ageratina,Ageratina adenophora,3.dicot,introduced
13/11/2022,624851,2022-11-21 06:14:57 UTC,Asteraceae,Ageratina,Ageratina adenophora,3.dicot,introduced
20/03/2023,1259195,2023-03-26 10:27:51 UTC,Asteraceae,Ageratina,Ageratina adenophora,3.dicot,introduced
8/07/2023,2583877,2023-07-08 05:20:13 UTC,Asteraceae,Ageratina,Ageratina adenophora,3.dicot,introduced
21/08/2023,4177273,2023-08-21 22:25:18 UTC,Asteraceae,Ageratina,Ageratina adenophora,3.dicot,introduced
20/09/2023,5435930,2023-09-25 12:15:03 UTC,Asteraceae,Ageratina,Ageratina adenophora,3.dicot,introduced
2/01/2024,1138587,2024-01-02 08:51:14 UTC,Asteraceae,Ageratina,Ageratina adenophora,3.dicot,introduced
21/08/2020,2488549,2020-08-21 09:57:32 UTC,Asteraceae,Ageratina,Ageratina riparia,3.dicot,introduced
29/08/2020,2488549,2020-08-29 03:46:04 UTC,Asteraceae,Ageratina,Ageratina riparia,3.dicot,introduced
24/09/2023,1138587,2023-09-27 02:55:57 UTC,Asteraceae,Ageratina,Ageratina riparia,3.dicot,introduced
24/09/2023,1138587,2023-09-27 02:55:57 UTC,Asteraceae,Ageratina,Ageratina riparia,3.dicot,introduced
24/09/2023,1138587,2023-09-27 02:55:58 UTC,Asteraceae,Ageratina,Ageratina riparia,3.dicot,introduced
24/09/2023,1138587,2023-09-27 02:55:59 UTC,Asteraceae,Ageratina,Ageratina riparia,3.dicot,introduced
24/09/2023,1138587,2023-09-27 03:20:50 UTC,Asteraceae,Ageratina,Ageratina riparia,3.dicot,introduced
24/09/2023,661392,2023-09-29 11:38:16 UTC,Asteraceae,Ageratina,Ageratina riparia,3.dicot,introduced
26/04/2020,2488549,2020-04-26 08:39:22 UTC,Casuarinaceae,Allocasuarina,Allocasuarina distyla,3.dicot,native
23/05/2020,62599,2020-05-23 10:31:28 UTC,Casuarinaceae,Allocasuarina,Allocasuarina distyla,3.dicot,native
7/02/2015,215669,2020-06-07 22:59:57 UTC,Casuarinaceae,Allocasuarina,Allocasuarina distyla,3.dicot,native
30/11/2021,4916136,2021-11-30 11:46:28 UTC,Casuarinaceae,Allocasuarina,Allocasuarina distyla,3.dicot,native
16/05/2015,4002106,2022-03-10 18:04:18 UTC,Casuarinaceae,Allocasuarina,Allocasuarina distyla,3.dicot,native
30/04/2022,1138587,2022-04-30 09:41:59 UTC,Casuarinaceae,Allocasuarina,Allocasuarina distyla,3.dicot,native
24/08/2022,6011270,2022-08-24 01:49:07 UTC,Casuarinaceae,Allocasuarina,Allocasuarina distyla,3.dicot,native
26/02/2023,4743351,2023-02-27 09:57:03 UTC,Casuarinaceae,Allocasuarina,Allocasuarina distyla,3.dicot,native
4/03/2023,1187603,2023-03-14 11:11:38 UTC,Casuarinaceae,Allocasuarina,Allocasuarina distyla,3.dicot,native
9/07/2023,4059674,2023-07-09 05:05:59 UTC,Casuarinaceae,Allocasuarina,Allocasuarina distyla,3.dicot,native
28/12/2023,7464766,2024-01-01 04:16:38 UTC,Casuarinaceae,Allocasuarina,Allocasuarina distyla,3.dicot,native
2/01/2024,661392,2024-01-02 06:21:11 UTC,Casuarinaceae,Allocasuarina,Allocasuarina distyla,3.dicot,native
9/03/2023,1658043,2023-03-13 07:22:43 UTC,Casuarinaceae,Allocasuarina,Allocasuarina littoralis,3.dicot,native
31/07/2022,265090,2022-07-31 10:11:34 UTC,Casuarinaceae,Allocasuarina,Allocasuarina torulosa,3.dicot,native
4/07/2021,3957444,2021-07-04 05:48:19 UTC,Casuarinaceae,Allocasuarina,Allocasuarina verticillata,3.dicot,native
12/03/2023,6566631,2023-03-12 05:26:08 UTC,Araceae,Alocasia,Alocasia brisbanensis,5.monocot-colorful,native
9/05/2020,2488549,2020-05-09 09:24:26 UTC,Rhamnaceae,Alphitonia,Alphitonia excelsa,3.dicot,native
10/02/2021,706931,2021-02-10 06:57:47 UTC,Rhamnaceae,Alphitonia,Alphitonia excelsa,3.dicot,native
28/03/2022,603063,2022-04-26 10:57:45 UTC,Alstroemeriaceae,Alstroemeria,Alstroemeria psittacina,5.monocot-colorful,introduced
10/02/2023,1175154,2023-02-10 20:20:58 UTC,Alstroemeriaceae,Alstroemeria,Alstroemeria psittacina,5.monocot-colorful,introduced
9/10/2020,2488549,2020-10-09 20:59:08 UTC,Euphorbiaceae,Amperea,Amperea xiphoclada,3.dicot,native
28/09/2021,4743351,2021-09-29 10:19:10 UTC,Euphorbiaceae,Amperea,Amperea xiphoclada,3.dicot,native
26/06/2022,2322306,2022-06-27 23:16:35 UTC,Euphorbiaceae,Amperea,Amperea xiphoclada,3.dicot,native
20/09/2023,5435930,2023-09-25 12:15:30 UTC,Euphorbiaceae,Amperea,Amperea xiphoclada,3.dicot,native
24/09/2023,661392,2023-09-28 13:41:04 UTC,Euphorbiaceae,Amperea,Amperea xiphoclada,3.dicot,native
16/06/2020,2602714,2020-06-16 05:12:47 UTC,Loranthaceae,Amyema,Amyema congener,3.dicot,native
30/05/2023,3978191,2023-05-30 08:47:24 UTC,Poaceae,Andropogon,Andropogon virginicus,4.monocot,introduced
20/07/2023,6196075,2023-07-20 02:47:37 UTC,Poaceae,Andropogon,Andropogon virginicus,4.monocot,introduced
2/01/2024,661392,2024-01-02 06:02:33 UTC,Commelinaceae,Aneilema,Aneilema acuminatum,5.monocot-colorful,native
2/01/2024,1138587,2024-01-02 08:51:15 UTC,Commelinaceae,Aneilema,Aneilema acuminatum,5.monocot-colorful,native
25/10/2010,2991,2012-10-09 01:09:03 UTC,Myrtaceae,Angophora,Angophora costata,3.dicot,native
2/11/2011,2991,2013-06-10 21:07:38 UTC,Myrtaceae,Angophora,Angophora costata,3.dicot,native
19/04/2018,841801,2018-04-19 06:27:35 UTC,Myrtaceae,Angophora,Angophora costata,3.dicot,native
7/01/2019,1382106,2019-01-07 06:21:50 UTC,Myrtaceae,Angophora,Angophora costata,3.dicot,native
19/05/2019,1527933,2019-05-19 12:23:02 UTC,Myrtaceae,Angophora,Angophora costata,3.dicot,native
1/12/2014,38771,2019-12-05 00:20:47 UTC,Myrtaceae,Angophora,Angophora costata,3.dicot,native
23/12/2019,2488549,2019-12-23 06:04:19 UTC,Myrtaceae,Angophora,Angophora costata,3.dicot,native
12/01/2020,2488549,2020-01-12 08:29:02 UTC,Myrtaceae,Angophora,Angophora costata,3.dicot,native
26/01/2020,2488549,2020-01-26 08:13:58 UTC,Myrtaceae,Angophora,Angophora costata,3.dicot,native
9/12/2020,3748684,2020-12-09 12:57:40 UTC,Myrtaceae,Angophora,Angophora costata,3.dicot,native
7/02/2021,2376854,2021-02-07 08:56:14 UTC,Myrtaceae,Angophora,Angophora costata,3.dicot,native
